,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
5093,ts311915,Rebelde,SHOW,2022,TV-MA,40,drama,MX,2.0,tt14153686,6.2,2492.0,138.589,7.455
5095,ts307925,On the Verge,SHOW,2021,TV-MA,32,drama,FR,1.0,tt5540990,6.4,2961.0,8.188,5.2
5098,ts272463,Colin in Black & White,SHOW,2021,TV-14,32,drama,US,1.0,tt12624928,5.5,7282.0,29.999,6.682
5100,ts313781,The Club,SHOW,2021,TV-14,47,drama,TR,2.0,tt13317582,7.9,7810.0,8.116,7.2
5102,ts246073,Tribes of Europa,SHOW,2021,TV-MA,47,scifi,DE,1.0,tt9184982,6.7,12043.0,37.998,7.179
5104,ts321614,Blippi Wonders,SHOW,2021,TV-Y,7,animation,US,1.0,tt19315934,5.1,21.0,1.557,7.0
5105,ts250092,Shaman King,SHOW,2021,TV-PG,25,comedy,JP,1.0,tt12502782,6.9,1728.0,56.636,8.3
5106,ts303513,42 Days of Darkness,SHOW,2022,TV-MA,46,crime,CL,1.0,tt15090462,6.5,1040.0,6.233,5.9
5109,ts344043,Welcome to Wedding Hell,SHOW,2022,TV-14,37,drama,KR,1.0,tt20192096,6.9,89.0,4.417,9.0
5110,ts317078,The Journalist,SHOW,2022,TV-14,51,crime,JP,1.0,tt15101670,7.0,608.0,6.078,8.1
5112,ts315041,Bulgasal: Immortal Souls,SHOW,2021,TV-MA,71,fantasy,KR,1.0,tt14691616,7.3,2063.0,10.958,8.1
5113,ts289620,House of Secrets: The Burari Deaths,SHOW,2021,TV-MA,45,crime,IN,1.0,tt14167390,7.4,9944.0,7.749,7.6
5115,ts343492,Thermae Romae Novae,SHOW,2022,TV-MA,29,animation,JP,1.0,tt13357234,7.0,749.0,1.915,7.6
5119,ts297846,An astrological guide for broken hearts,SHOW,2021,TV-14,34,romance,IT,2.0,tt14759406,7.1,3034.0,8.058,7.0
5120,ts220196,Centaurworld,SHOW,2021,TV-Y7,29,family,US,2.0,tt10919290,7.6,2045.0,9.038,7.6
5124,ts319333,Tiger King: The Doc Antle Story,SHOW,2021,TV-MA,42,documentation,US,1.0,tt16307970,6.2,1564.0,4.16,6.5
5126,ts272366,Amend: The Fight for America,SHOW,2021,TV-MA,58,documentation,US,1.0,tt13972246,7.8,1281.0,14.953,7.0
5127,ts268102,Juvenile Justice,SHOW,2022,TV-MA,61,crime,KR,1.0,tt15553922,8.0,2633.0,63.286,8.2
5128,ts220553,The Irregulars,SHOW,2021,TV-14,53,thriller,GB,1.0,tt10893694,5.9,14927.0,10.125,7.5
5129,ts301915,The King's Affection,SHOW,2021,TV-14,65,drama,KR,1.0,,,,34.387,8.3
5130,ts288195,Invisible City,SHOW,2021,TV-MA,37,drama,BR,2.0,tt8878862,7.7,18.0,10.14,7.1
5134,ts317297,The Orbital Children,SHOW,2022,TV-14,32,scifi,JP,2.0,tt13351614,6.4,564.0,11.016,7.6
5136,ts331439,My Little Pony: Make Your Mark,SHOW,2022,TV-Y,45,comedy,US,1.0,tt14134334,6.0,136.0,400.035,8.1
5137,ts317522,Dig Deeper: The Disappearance of Birgit Meier,SHOW,2021,Not Available,60,documentation,DE,1.0,tt15771888,7.3,1881.0,2.293,7.9
5139,ts29800,Surviving Death,SHOW,2021,TV-MA,54,reality,US,1.0,tt13649692,6.1,2028.0,0.6,6.8
5141,ts347762,Baby Fever,SHOW,2022,TV-MA,32,comedy,DK,1.0,tt19389564,6.2,532.0,7.276,6.3
5142,ts296563,Who Rules The World,SHOW,2022,TV-PG,42,romance,CN,1.0,tt14950036,8.3,530.0,16.75,5.9
5146,ts320502,Getting Curious with Jonathan Van Ness,SHOW,2022,TV-MA,26,comedy,US,1.0,tt16584084,6.8,741.0,2.01,7.7
5147,ts286317,The Sons of Sam: A Descent Into Darkness,SHOW,2021,TV-MA,60,history,US,1.0,tt13156316,7.0,8500.0,10.533,7.3
5148,ts301999,Open Your Eyes,SHOW,2021,TV-MA,47,drama,PL,1.0,tt13495314,6.5,1464.0,14.064,7.2
5150,ts271593,Spycraft,SHOW,2021,TV-MA,34,documentation,US,1.0,tt13789092,6.7,2044.0,7.337,6.9
5152,ts327074,Bullsh*t the Game Show,SHOW,2022,TV-14,0,reality,US,1.0,tt16912298,6.1,750.0,1.125,7.2
5158,ts241854,EDENS ZERO,SHOW,2021,TV-14,24,action,JP,1.0,,,,24.758,7.8
5160,ts268835,Sisyphus,SHOW,2021,Not Available,71,fantasy,KR,1.0,tt13715448,7.0,3815.0,13.956,7.2
5161,ts305263,Baking Impossible,SHOW,2021,TV-PG,49,reality,US,1.0,tt15171996,7.0,1114.0,4.722,6.3
5163,ts301914,Inspector Koo,SHOW,2021,TV-14,69,crime,KR,1.0,tt14731794,6.9,619.0,18.817,7.3
5167,ts308689,Misfit: The Series,SHOW,2021,Not Available,24,comedy,NL,1.0,tt15517928,7.1,77.0,2.178,8.3
5168,ts272939,The Lost Pirate Kingdom,SHOW,2021,TV-MA,43,history,US,1.0,tt14057360,6.6,2804.0,6.297,7.7
5169,ts343251,Green Mothers' Club,SHOW,2022,Not Available,70,thriller,KR,1.0,tt15060900,6.5,120.0,5.439,6.2
