,person_id,id,name,character,role,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
84,381,ts20983,Fumihiko Tachiki,Gendo Ikari (voice),ACTOR,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,JP,1.0,tt0112159,8.5,66629.0,49.27,8.637
85,103777,ts20983,Motomu Kiyokawa,Kozo Fuyutsuki (voice),ACTOR,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,JP,1.0,tt0112159,8.5,66629.0,49.27,8.637
86,338,ts20983,Miki Nagasawa,Maya Ibuki (voice),ACTOR,Neon Genesis Evangelion,SHOW,1995,TV-14,24,scifi,JP,1.0,tt0112159,8.5,66629.0,49.27,8.637
87,19704,ts21567,Lauren Graham,Lorelai Gilmore,ACTOR,Gilmore Girls,SHOW,2000,TV-14,46,drama,US,8.0,tt0238784,8.2,121462.0,58.578,7.827
88,5259,ts21567,Alexis Bledel,Rory Gilmore,ACTOR,Gilmore Girls,SHOW,2000,TV-14,46,drama,US,8.0,tt0238784,8.2,121462.0,58.578,7.827
89,14219,ts21567,Scott Patterson,Luke Danes,ACTOR,Gilmore Girls,SHOW,2000,TV-14,46,drama,US,8.0,tt0238784,8.2,121462.0,58.578,7.827
90,4476,ts21567,Melissa McCarthy,Sookie St. James,ACTOR,Gilmore Girls,SHOW,2000,TV-14,46,drama,US,8.0,tt0238784,8.2,121462.0,58.578,7.827
91,73463,ts21567,Keiko Agena,Lane Kim,ACTOR,Gilmore Girls,SHOW,2000,TV-14,46,drama,US,8.0,tt0238784,8.2,121462.0,58.578,7.827
92,89795,ts21567,Yanic Truesdale,Michel Gerard,ACTOR,Gilmore Girls,SHOW,2000,TV-14,46,drama,US,8.0,tt0238784,8.2,121462.0,58.578,7.827
93,4099,ts21567,Edward Herrmann,Richard Gilmore,ACTOR,Gilmore Girls,SHOW,2000,TV-14,46,drama,US,8.0,tt0238784,8.2,121462.0,58.578,7.827
94,31155,ts21567,Kelly Bishop,Emily Gilmore,ACTOR,Gilmore Girls,SHOW,2000,TV-14,46,drama,US,8.0,tt0238784,8.2,121462.0,58.578,7.827
95,1612076,ts20960,Russell Curry,Zayto,ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
96,109735,ts20960,Hunter Deno,Amelia Jones,ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
97,1611691,ts20960,Kai Moya,Ollie Akana,ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
98,802264,ts20960,Tessa Rao,Izzy Garcia,ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
99,1654633,ts20960,Chance Perez,Javi Garcia,ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
100,2098092,ts20960,Jordan Fite,Aiyon,ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
101,85280,ts20960,Jared Turner,Void Knight,ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
102,450219,ts20960,Josephine Davison,Solon (voice),ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
103,1429960,ts20960,Torum Heng,Mucus (voice),ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
104,85112,ts20960,Campbell Cooley,Slyther (voice),ACTOR,Power Rangers,SHOW,1993,TV-Y7,22,action,US,29.0,tt0106064,6.5,22110.0,19.699,6.8
105,340,ts25252,Megumi Ogata,Yugi Mutou,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
106,30768,ts25252,Toshiyuki Morikawa,Katsuya Jonouchi,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
107,14002,ts25252,Hikaru Midorikawa,Seto Kaiba,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
108,30775,ts25252,Yumi Kakazu,Anzu Mazaki,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
109,123541,ts25252,Ryotaro Okiayu,Hiroto Honda,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
110,97925,ts25252,Tsutomu Kashiwakura,Ryo Bakura,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
111,95739,ts25252,Kaneto Shiozawa,Shadi,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
112,115938,ts25252,Katsue Miwa,Mokuba Kaiba,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
113,461,ts25252,Yukana,Miho Nosaka,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
114,42359,ts25252,Takeshi Aono,Sugoroku Mutou,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
115,39333,ts25252,Michiko Neya,Shizuka Kawai,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
116,407872,ts25252,Ryou Naitou,Ryuji Otogi,ACTOR,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,family,JP,7.0,tt4834194,7.3,21113.0,33.504,7.358
117,369664,ts22193,Daniel DeSanto,Not Available,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
118,77914,ts22193,Stuart Stone,Not Available,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
119,32507,ts22193,Erica Luttrell,Not Available,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
120,23244,ts22193,Malcolm-Jamal Warner,The Producer,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
121,59814,ts22193,Danny Tamberelli,Not Available,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
122,21032,ts22193,Lily Tomlin,Ms. Valerie Frizzle,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
123,529,ts22193,Frank Welker,Not Available,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
124,6640,ts22193,Whoopi Goldberg,Not Available,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
125,93576,ts22193,Susan Blu,Not Available,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
126,158,ts22193,Edward James Olmos,Mr. Ramon,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
127,97271,ts22193,Andre Ottley-Lorant,Not Available,ACTOR,The Magic School Bus,SHOW,1994,TV-Y,26,animation,CA,4.0,tt0108847,7.8,9829.0,16.83,7.8
128,78718,ts22489,R.L. Stine,Host,ACTOR,Goosebumps,SHOW,1995,TV-PG,22,fantasy,CA,4.0,tt0111987,7.6,13493.0,63.687,7.9
129,58215,ts21034,Kappei Yamaguchi,InuYasha (voice),ACTOR,InuYasha,SHOW,2000,TV-14,25,comedy,JP,9.0,tt0290223,7.9,15823.0,62.355,8.6
130,434,ts21034,Satsuki Yukino,Kagome Higurashi (voice),ACTOR,InuYasha,SHOW,2000,TV-14,25,comedy,JP,9.0,tt0290223,7.9,15823.0,62.355,8.6
131,115792,ts21034,Yasunao Aoki,Not Available,DIRECTOR,InuYasha,SHOW,2000,TV-14,25,comedy,JP,9.0,tt0290223,7.9,15823.0,62.355,8.6
132,200167,ts21034,Masashi Ikeda,Not Available,DIRECTOR,InuYasha,SHOW,2000,TV-14,25,comedy,JP,9.0,tt0290223,7.9,15823.0,62.355,8.6
133,100156,ts16919,Chelsea Brummet,Regular Performer,ACTOR,All That,SHOW,1994,TV-G,22,comedy,US,11.0,tt0111875,7.5,7718.0,6.688,8.4
134,100159,ts16919,Lisa Foiles,Regular Performer,ACTOR,All That,SHOW,1994,TV-G,22,comedy,US,11.0,tt0111875,7.5,7718.0,6.688,8.4
135,90227,ts16919,Kyle Sullivan,Regular Performer,ACTOR,All That,SHOW,1994,TV-G,22,comedy,US,11.0,tt0111875,7.5,7718.0,6.688,8.4
136,12442,ts16919,Denzel Whitaker,Various,ACTOR,All That,SHOW,1994,TV-G,22,comedy,US,11.0,tt0111875,7.5,7718.0,6.688,8.4
137,15491,ts16919,Jack De Sena,Regular Performer,ACTOR,All That,SHOW,1994,TV-G,22,comedy,US,11.0,tt0111875,7.5,7718.0,6.688,8.4
138,95291,ts16919,Kianna Underwood,Various,ACTOR,All That,SHOW,1994,TV-G,22,comedy,US,11.0,tt0111875,7.5,7718.0,6.688,8.4
139,100163,ts16919,Ryan Coleman,Various,ACTOR,All That,SHOW,1994,TV-G,22,comedy,US,11.0,tt0111875,7.5,7718.0,6.688,8.4
140,31026,ts16919,Lil' JJ,Various,ACTOR,All That,SHOW,1994,TV-G,22,comedy,US,11.0,tt0111875,7.5,7718.0,6.688,8.4
141,33746,ts8570,David Joyner,Barney,ACTOR,Barney & Friends,SHOW,1992,TV-G,28,family,US,14.0,tt0144701,3.8,9624.0,14.641,4.9
