,id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
344,tm112381,Comedian,MOVIE,2002,R,82,documentation,US,tt0328962,6.9,6985.0,4.854,6.7
345,tm39487,Catch and Release,MOVIE,2006,PG-13,111,romance,US,tt0395495,5.9,26528.0,9.435,5.9
347,tm43399,Lagaan: Once Upon a Time in India,MOVIE,2001,PG,224,sport,IN,tt0169102,8.1,111053.0,10.097,7.3
351,tm186461,No Direction Home: Bob Dylan,MOVIE,2005,G,208,music,GB,,,,7.58,7.7
352,tm29555,Friends with Money,MOVIE,2006,R,88,drama,US,tt0436331,5.8,30468.0,11.86,5.1
353,tm103095,Ip Man 2,MOVIE,2010,R,108,action,CN,tt1386932,7.5,104500.0,4.516,7.5
354,tm97070,Life As We Know It,MOVIE,2010,PG-13,114,drama,US,tt1055292,6.5,131623.0,40.534,6.9
355,tm101334,Death at a Funeral,MOVIE,2010,R,92,drama,US,tt1321509,5.7,49901.0,15.989,5.8
356,tm183963,Dreamer: Inspired By a True Story,MOVIE,2005,PG,106,drama,US,tt0418647,6.8,13205.0,10.235,6.9
357,tm76428,Jackass 2.5,MOVIE,2007,Not Available,61,documentation,US,,,,28.197,6.1
358,tm77649,Premonition,MOVIE,2007,PG-13,96,fantasy,US,tt0477071,5.9,78494.0,14.21,6.3
359,tm86924,Soul Plane,MOVIE,2004,R,86,romance,US,tt0367085,4.5,23048.0,21.864,5.3
361,tm26638,The Texas Chainsaw Massacre: The Beginning,MOVIE,2006,R,91,documentation,US,tt0420294,5.8,72845.0,57.763,6.1
362,tm78189,The Contractor,MOVIE,2007,R,98,thriller,BG,,,,15.026,5.6
365,tm104880,Louis C.K.: Hilarious,MOVIE,2010,Not Available,84,comedy,US,tt1421373,8.4,12089.0,5.717,7.9
368,tm22294,Deck the Halls,MOVIE,2006,PG,93,comedy,US,tt0790604,5.0,27936.0,11.999,5.5
369,tm100015,Takers,MOVIE,2010,PG-13,107,thriller,US,tt1135084,6.2,62464.0,15.872,6.228
372,tm83786,Like Stars on Earth,MOVIE,2007,PG,165,drama,IN,tt0986264,8.3,189685.0,17.66,8.012
373,tm130574,Did You Hear About the Morgans?,MOVIE,2009,PG-13,103,drama,US,tt1314228,4.9,40551.0,12.459,5.4
374,tm114476,Stuart Little 2,MOVIE,2002,G,78,comedy,US,tt0243585,5.5,54193.0,36.691,5.733
377,tm118462,Half Past Dead,MOVIE,2002,PG-13,98,european,DE,tt0297162,4.6,15740.0,12.906,5.2
380,tm86995,Christmas with the Kranks,MOVIE,2004,PG,99,family,US,tt0388419,5.4,49302.0,17.708,6.1
383,tm97544,Alpha and Omega,MOVIE,2010,PG,88,comedy,IN,tt1213012,5.1,14362.0,13.523,5.9
